tag	layer	block	head	x	y	target	bit
267	0	1	3	60	275	1	2
268	0	7	4	94	343	1	6
269	0	11	5	186	79	1	6
270	0	1	2	125	315	1	6
271	0	0	3	176	189	1	3
272	0	7	5	60	185	1	1
273	0	5	0	139	330	1	5
274	0	6	3	70	97	1	1
275	0	1	0	169	108	1	0
276	0	5	0	62	64	1	3
277	0	8	1	53	300	1	3
278	0	5	2	37	305	1	0
279	0	2	1	33	276	1	4
280	0	1	0	169	13	1	2
281	0	5	0	60	301	1	5
282	0	2	5	67	26	1	2
283	0	6	3	134	58	1	1
284	0	7	3	92	262	1	1
285	0	8	5	56	314	1	0
286	0	10	5	133	154	1	7
287	0	0	3	15	245	1	6
288	0	10	0	27	251	1	7
289	0	1	0	82	311	1	2
290	0	2	3	70	319	1	5
291	0	9	4	135	150	1	7
292	0	9	5	110	50	1	1
293	0	10	3	196	282	1	3
294	0	7	3	58	211	1	5
295	0	6	2	106	373	1	1
296	0	6	2	80	340	1	4
297	0	2	0	175	242	1	1
298	0	1	5	23	221	1	1
299	0	11	4	95	66	1	0
300	0	8	3	143	168	1	1
301	0	5	2	170	216	1	0
302	0	9	4	79	180	1	1
303	0	8	1	54	79	1	7
304	0	1	0	89	284	1	5
305	0	4	4	146	115	1	6
306	0	9	4	157	345	1	0
307	0	10	1	177	136	1	0
308	0	4	2	179	158	1	5
309	0	0	0	46	73	1	6
310	0	2	0	189	324	1	0
311	0	11	3	135	110	1	6
312	0	7	2	87	80	1	5
313	0	11	0	83	290	1	1
314	0	2	5	40	316	1	0
315	0	1	3	69	226	1	6
316	0	9	1	113	212	1	4
317	0	8	0	29	176	1	6
318	0	4	4	173	347	1	7
319	0	10	3	78	23	1	3
320	0	9	2	14	3	1	3
321	0	3	2	196	70	1	4
322	0	5	5	30	3	1	7
323	0	6	4	44	66	1	6
324	0	11	0	58	256	1	5
325	0	6	0	189	21	1	6
326	0	7	4	19	160	1	6
327	0	6	2	181	327	1	6
328	0	1	1	103	10	1	5
329	0	9	0	117	353	1	5
330	0	6	4	27	124	1	6
331	0	6	2	134	40	1	6
332	0	11	1	86	113	1	5
333	0	1	4	130	324	1	1
334	0	8	5	49	178	1	5
335	0	10	1	37	120	1	1
336	0	4	5	50	88	1	2
337	0	1	3	45	321	1	7
338	0	9	5	194	296	1	7
339	0	9	5	164	325	1	5
340	0	5	3	38	225	1	1
341	0	7	4	161	155	1	4
342	0	0	2	90	259	1	1
343	0	7	2	115	19	1	0
344	0	4	4	19	330	1	1
345	0	9	4	129	196	1	7
346	0	8	4	189	21	1	7
347	0	10	4	48	164	1	7
348	0	2	2	15	230	1	1
349	0	11	0	21	258	1	2
350	0	3	4	181	224	1	7
351	0	8	2	156	81	1	5
352	0	4	5	99	209	1	5
353	0	9	0	13	323	1	5
354	0	5	2	24	285	1	6
355	0	4	2	185	336	1	2
356	0	1	2	149	339	1	2
357	0	4	1	167	357	1	6
358	0	9	4	181	43	1	4
359	0	6	5	164	168	1	2
360	0	11	5	189	350	1	1
361	0	10	0	108	260	1	5
362	0	5	2	79	92	1	3
363	0	7	1	49	115	1	2
364	0	1	5	75	51	1	0
365	0	5	4	196	316	1	2
366	0	6	5	39	83	1	2
367	0	9	0	42	369	1	7
368	0	6	3	93	346	1	3
369	0	9	1	72	383	1	7
370	0	8	1	61	158	1	7
371	0	5	3	173	292	1	7
372	0	4	1	97	257	1	6
373	0	3	0	154	70	1	4
374	0	10	5	123	190	1	1
375	0	8	1	31	145	1	1
376	0	4	3	115	262	1	2
377	0	1	0	56	230	1	5
378	0	6	1	13	202	1	5
379	0	6	0	20	191	1	3
380	0	5	1	25	365	1	5
381	0	2	5	9	146	1	7
382	0	2	3	194	361	1	7
383	0	9	2	1	40	1	0
384	0	3	0	38	280	1	6
385	0	4	0	60	154	1	1
386	0	3	0	107	327	1	7
387	0	1	5	127	305	1	0
388	0	8	2	147	123	1	2
389	0	6	1	0	314	1	5
390	0	9	4	106	95	1	1
391	0	5	3	17	269	1	0
392	0	7	2	11	325	1	6
393	0	4	0	191	8	1	5
394	0	5	4	61	375	1	1
395	0	11	0	193	170	1	2
396	0	5	5	139	173	1	2
397	0	7	1	178	245	1	2
398	0	1	2	183	234	1	0
399	0	3	2	11	102	1	0
400	0	4	2	131	203	1	7
401	0	0	2	192	331	1	3
402	0	5	2	12	335	1	5
403	0	1	5	94	223	1	6
404	0	7	3	98	173	1	2
405	0	11	0	127	188	1	4
406	0	11	4	108	40	1	6
407	0	2	0	139	150	1	5
408	0	1	2	83	338	1	4
409	0	7	1	154	367	1	6
410	0	11	0	113	179	1	7
411	0	11	2	90	314	1	6
412	0	10	2	14	38	1	6
413	0	8	0	191	347	1	2
414	0	2	0	155	347	1	7
415	0	2	2	17	120	1	5
416	0	6	5	145	16	1	2
417	0	7	0	94	190	1	7
418	0	9	3	35	271	1	5
419	0	5	0	166	142	1	3
420	0	0	4	188	95	1	7
421	0	6	2	143	60	1	4
422	0	11	5	114	109	1	4
423	0	7	0	51	62	1	2
424	0	7	0	44	365	1	7
425	0	10	5	81	341	1	5
426	0	1	2	140	277	1	4
427	0	2	2	182	363	1	2
428	0	8	1	57	62	1	3
429	0	3	4	126	13	1	5
430	0	9	4	94	239	1	2
431	0	1	5	16	158	1	6
432	0	11	3	122	269	1	6
433	0	9	5	18	64	1	5
434	0	1	1	115	238	1	5
435	0	8	1	163	300	1	2
436	0	6	4	128	28	1	1
437	0	2	2	77	84	1	2
438	0	11	0	57	177	1	4
439	0	4	1	50	325	1	4
440	0	10	4	77	314	1	1
441	0	10	1	43	303	1	2
442	0	10	4	159	368	1	5
443	0	0	5	7	41	1	0
444	0	9	4	67	333	1	3
445	0	6	3	158	327	1	0
446	0	10	3	139	148	1	4
447	0	3	3	175	207	1	4
448	0	1	3	176	30	1	2
449	0	6	2	123	237	1	3
450	0	9	5	36	160	1	5
451	0	5	4	102	66	1	5
452	0	8	3	27	163	1	3
453	0	1	1	68	230	1	3
454	0	1	4	12	148	1	6
455	0	6	4	63	81	1	5
456	0	11	3	80	97	1	2
457	0	8	3	119	255	1	4
458	0	0	1	23	201	1	7
459	0	3	0	149	180	1	0
460	0	4	2	126	305	1	7
461	0	8	1	2	55	1	6
462	0	4	2	186	187	1	6
463	0	0	2	102	26	1	3
464	0	8	4	73	37	1	6
465	0	7	4	195	281	1	4
466	0	10	0	156	60	1	2
467	0	6	1	95	173	1	5
468	0	3	4	154	260	1	6
469	0	0	5	11	19	1	2
470	0	5	1	121	265	1	7
471	0	9	4	131	71	1	5
472	0	5	4	41	201	1	4
473	0	5	5	129	260	1	7
474	0	9	2	76	243	1	0
475	0	5	4	172	56	1	6
476	0	4	4	185	352	1	0
477	0	7	5	67	335	1	3
478	0	0	4	149	245	1	2
479	0	10	1	184	317	1	6
480	0	10	1	62	16	1	1
481	0	0	1	112	160	1	6
482	0	6	4	176	104	1	6
483	0	9	5	120	376	1	0
484	0	2	5	132	106	1	5
485	0	7	1	134	192	1	5
486	0	7	5	136	175	1	5
487	0	11	4	174	329	1	4
488	0	7	4	49	126	1	4
489	0	4	5	57	152	1	4
490	0	3	2	176	360	1	7
491	0	7	2	89	286	1	4
492	0	1	3	146	346	1	6
493	0	5	2	37	148	1	0
494	0	11	5	20	177	1	7
495	0	4	1	191	245	1	3
496	0	8	1	69	287	1	4
497	0	1	1	157	379	1	3
498	0	0	5	171	271	1	3
499	0	3	2	13	51	1	6
500	0	11	0	120	51	1	2
501	0	8	3	40	208	1	7
502	0	10	2	51	147	1	5
503	0	10	4	15	45	1	3
504	0	11	3	185	19	1	2
505	0	2	1	9	203	1	7
506	0	11	2	74	19	1	0
507	0	9	2	154	54	1	5
508	0	7	1	164	278	1	7
509	0	8	0	119	139	1	3
510	0	5	5	41	374	1	7
511	0	4	5	183	95	1	0
512	0	5	1	75	290	1	3
513	0	9	4	163	207	1	6
514	0	5	1	22	205	1	1
515	0	2	0	122	165	1	3
516	0	4	2	98	120	1	7
517	0	5	2	77	298	1	0
518	0	10	0	92	354	1	3
519	0	10	1	30	238	1	4
520	0	6	5	175	257	1	4
521	0	1	4	163	151	1	5
522	0	3	1	56	68	1	7
523	0	7	3	191	310	1	5
524	0	11	1	140	241	1	3
525	0	10	4	193	305	1	1
526	0	7	0	135	360	1	5
527	0	9	4	28	31	1	3
528	0	8	4	38	84	1	5
529	0	7	5	29	348	1	3
530	0	9	0	125	46	1	7
531	0	7	3	33	262	1	6
532	0	9	5	14	286	1	7
533	0	4	2	185	11	1	6
534	0	0	0	190	111	1	1
535	0	6	4	88	358	1	1
536	0	0	2	17	241	1	0
537	0	6	2	46	69	1	6
538	0	6	0	114	193	1	6
539	0	10	5	169	276	1	2
540	0	5	4	30	91	1	6
541	0	2	0	186	114	1	0
542	0	4	4	118	344	1	6
543	0	6	2	58	126	1	7
544	0	2	0	70	96	1	1
545	0	10	1	107	314	1	0
546	0	3	3	17	51	1	0
547	0	9	1	172	360	1	0
548	0	11	1	11	205	1	7
549	0	8	4	55	28	1	2
550	0	4	4	59	374	1	5
551	0	9	2	172	164	1	3
552	0	2	3	169	266	1	3
553	0	4	5	70	31	1	2
554	0	10	0	109	284	1	7
555	0	5	4	164	343	1	6
556	0	5	1	178	213	1	6
557	0	4	1	96	94	1	7
558	0	3	3	76	362	1	2
559	0	0	4	143	211	1	6
560	0	8	2	34	198	1	3
561	0	3	3	84	331	1	1
562	0	5	0	23	274	1	3
563	0	4	0	96	344	1	0
564	0	3	3	194	300	1	3
565	0	3	1	85	155	1	0
566	0	3	1	189	60	1	7
567	0	11	3	154	360	1	3
568	0	3	3	141	164	1	4
569	0	7	2	136	332	1	5
570	0	4	3	92	262	1	7
571	0	1	1	184	240	1	5
572	0	5	4	80	211	1	0
573	0	3	2	189	74	1	0
574	0	8	2	149	296	1	6
575	0	2	3	50	168	1	3
576	0	9	2	62	255	1	5
577	0	7	3	185	328	1	7
578	0	2	1	187	180	1	2
579	0	11	4	139	250	1	2
580	0	10	0	15	268	1	0
581	0	10	1	12	3	1	6
582	0	10	0	59	34	1	2
583	0	3	0	129	233	1	5
584	0	9	5	163	341	1	7
585	0	7	0	4	3	1	6
586	0	0	4	135	369	1	4
587	0	4	1	4	257	1	6
588	0	1	1	24	268	1	2
589	0	3	2	158	269	1	4
590	0	4	3	101	40	1	5
591	0	7	2	144	124	1	3
592	0	10	0	20	334	1	0
593	0	6	0	97	193	1	7
594	0	10	0	2	359	1	2
595	0	7	4	111	330	1	5
596	0	1	1	135	21	1	3
597	0	11	0	145	243	1	4
598	0	1	1	175	143	1	0
599	0	5	5	4	106	1	2
600	0	6	4	19	153	1	2
601	0	3	3	145	199	1	5
602	0	11	4	35	352	1	1
603	0	11	3	88	27	1	1
604	0	3	2	19	174	1	6
605	0	0	3	162	139	1	7
606	0	3	3	91	283	1	6
607	0	2	0	174	299	1	6
608	0	9	0	75	126	1	1
609	0	4	5	39	194	1	2
610	0	6	0	81	184	1	1
611	0	0	2	78	227	1	5
612	0	1	3	33	44	1	2
613	0	7	0	142	284	1	6
614	0	0	4	22	181	1	1
615	0	9	2	83	197	1	0
616	0	6	4	99	43	1	3
617	0	8	1	43	350	1	6
618	0	2	3	68	154	1	4
619	0	2	2	16	85	1	6
620	0	6	2	76	247	1	1
621	0	4	4	63	369	1	7
622	0	9	1	50	234	1	1
623	0	4	4	1	202	1	5
624	0	6	3	84	225	1	5
625	0	10	2	152	69	1	4
626	0	9	2	177	102	1	7
627	0	2	5	101	163	1	4
628	0	11	2	162	251	1	3
629	0	6	0	71	201	1	5
630	0	9	5	51	303	1	2
631	0	8	5	6	372	1	7
632	0	3	3	112	149	1	1
633	0	10	1	127	71	1	4
634	0	4	3	168	78	1	6
635	0	1	4	114	306	1	7
636	0	6	4	136	259	1	6
637	0	0	0	92	359	1	1
638	0	3	1	168	340	1	5
639	0	10	2	156	22	1	6
640	0	6	2	27	5	1	1
641	0	3	3	130	382	1	3
642	0	5	2	100	237	1	2
643	0	0	3	123	53	1	4
644	0	1	2	29	373	1	2
645	0	4	4	87	233	1	3
646	0	7	3	89	243	1	1
647	0	11	0	178	231	1	5
648	0	4	0	11	363	1	1
649	0	5	5	165	55	1	2
650	0	3	2	132	89	1	2
651	0	8	3	109	236	1	3
652	0	10	3	47	95	1	6
653	0	0	3	188	314	1	3
654	0	9	5	109	199	1	0
655	0	3	4	52	142	1	1
656	0	1	2	137	95	1	5
657	0	3	5	117	58	1	4
658	0	7	4	135	327	1	5
659	0	6	2	156	200	1	1
660	0	5	5	117	316	1	2
661	0	11	5	76	314	1	1
662	0	2	2	80	60	1	3
663	0	1	4	46	191	1	2
664	0	6	4	107	305	1	2
665	0	6	5	108	95	1	7
666	0	8	4	177	330	1	2
667	0	2	1	125	147	1	2
668	0	5	2	115	317	1	0
669	0	0	3	124	69	1	3
670	0	8	3	129	334	1	7
671	0	10	3	125	212	1	7
672	0	2	1	21	289	1	0
673	0	4	4	8	140	1	3
674	0	4	4	43	234	1	7
675	0	8	2	28	293	1	1
676	0	8	5	93	277	1	0
677	0	7	0	139	111	1	6
678	0	11	0	167	126	1	4
679	0	7	3	67	178	1	1
680	0	1	5	60	107	1	5
681	0	9	4	161	219	1	2
682	0	2	4	52	105	1	0
683	0	5	2	136	143	1	2
684	0	11	4	74	148	1	4
685	0	10	0	24	69	1	6
686	0	4	1	167	64	1	2
687	0	2	5	182	164	1	3
688	0	6	5	125	72	1	4
689	0	6	5	96	231	1	1
690	0	1	5	103	263	1	4
691	0	5	4	116	249	1	5
692	0	0	5	187	47	1	7
693	0	10	4	178	183	1	1
694	0	6	3	55	219	1	3
695	0	4	4	82	145	1	5
696	0	9	2	33	289	1	7
697	0	10	0	195	24	1	0
698	0	10	1	117	8	1	1
699	0	7	1	116	0	1	6
700	0	11	1	33	332	1	4
701	0	4	2	23	335	1	5
702	0	1	0	95	340	1	2
703	0	6	3	160	156	1	3
704	0	10	0	23	360	1	1
705	0	3	4	122	39	1	2
706	0	3	0	132	348	1	7
707	0	0	3	178	175	1	1
708	0	11	1	33	244	1	1
709	0	6	0	22	374	1	1
710	0	5	3	94	153	1	2
711	0	2	0	164	346	1	2
712	0	8	3	144	4	1	2
713	0	5	3	184	109	1	2
714	0	9	0	175	226	1	3
715	0	1	2	35	63	1	6
716	0	6	2	80	71	1	3
717	0	10	5	21	127	1	4
718	0	0	4	168	154	1	3
719	0	9	2	130	96	1	6
720	0	10	3	13	122	1	7
721	0	1	4	61	255	1	1
722	0	0	3	92	162	1	2
723	0	9	3	107	187	1	2
724	0	1	0	4	300	1	1
725	0	4	3	55	20	1	0
726	0	8	3	73	321	1	6
727	0	11	2	102	42	1	2
728	0	1	1	79	40	1	3
729	0	8	2	83	200	1	1
730	0	11	0	111	373	1	3
731	0	3	3	22	222	1	1
732	0	9	5	155	28	1	4
733	0	11	0	168	379	1	2
734	0	0	1	181	70	1	0
735	0	7	1	88	267	1	4
736	0	5	5	32	383	1	4
737	0	1	2	7	171	1	6
738	0	8	3	16	134	1	1
739	0	7	3	130	184	1	0
740	0	9	2	42	188	1	2
741	0	1	1	146	345	1	1
742	0	11	0	130	1	1	0
743	0	3	3	11	241	1	5
744	0	2	1	45	18	1	6
745	0	5	2	63	213	1	5
746	0	1	4	146	190	1	1
747	0	10	4	13	91	1	3
748	0	0	2	102	35	1	7
749	0	4	0	83	44	1	7
750	0	5	5	51	149	1	4
751	0	9	4	62	237	1	5
752	0	7	1	50	375	1	3
753	0	0	4	104	12	1	3
754	0	5	2	162	355	1	0
755	0	0	5	194	336	1	6
756	0	11	4	78	53	1	3
757	0	3	1	107	251	1	0
758	0	11	1	71	47	1	0
759	0	8	3	105	358	1	5
760	0	11	4	21	297	1	1
761	0	2	4	163	201	1	1
762	0	9	1	15	222	1	2
763	0	4	5	66	161	1	6
764	0	11	2	83	162	1	7
765	0	3	4	19	103	1	2
766	0	1	3	39	54	1	2
767	0	7	4	80	208	1	1
768	0	5	3	53	231	1	4
769	0	4	5	30	46	1	2
770	0	4	1	180	356	1	0
771	0	5	2	37	46	1	3
772	0	6	2	131	25	1	4
773	0	2	4	7	207	1	7
774	0	11	3	140	127	1	1
775	0	1	0	35	62	1	0
776	0	3	2	33	101	1	6
777	0	10	4	161	330	1	1
778	0	9	0	66	38	1	0
779	0	3	0	165	227	1	2
780	0	5	0	31	21	1	7
781	0	2	3	146	221	1	6
782	0	0	1	97	349	1	6
783	0	5	2	54	95	1	4
784	0	7	5	38	17	1	3
785	0	4	0	127	210	1	7
786	0	1	3	71	196	1	2
787	0	3	5	164	269	1	3
788	0	8	3	4	195	1	5
789	0	8	3	124	176	1	5
790	0	4	4	46	13	1	5
791	0	3	3	7	143	1	0
792	0	8	1	91	299	1	3
793	0	1	2	63	336	1	3
794	0	8	4	188	28	1	3
795	0	6	1	90	88	1	2
796	0	9	4	81	377	1	5
797	0	0	4	180	358	1	5
798	0	9	3	36	288	1	3
799	0	8	0	79	89	1	7
800	0	1	0	14	119	1	3
801	0	8	4	122	0	1	5
802	0	3	2	33	174	1	2
803	0	0	0	5	75	1	2
804	0	8	5	93	37	1	5
805	0	10	2	101	300	1	1
806	0	4	5	82	69	1	2
807	0	6	1	163	249	1	5
808	0	11	1	143	355	1	5
809	0	10	2	150	89	1	6
810	0	11	1	176	150	1	2
811	0	11	4	0	359	1	6
812	0	0	4	46	308	1	5
813	0	3	3	163	289	1	1
814	0	2	1	84	381	1	1
815	0	5	5	81	85	1	1
816	0	10	3	163	373	1	5
817	0	0	5	67	107	1	3
818	0	1	5	89	131	1	1
819	0	0	5	12	197	1	7
820	0	6	3	42	211	1	7
821	0	5	3	139	192	1	1
822	0	9	1	166	351	1	3
823	0	7	0	18	17	1	4
824	0	5	2	66	53	1	1
825	0	2	4	96	82	1	1
826	0	1	5	86	304	1	7
827	0	0	4	110	334	1	2
828	0	6	2	40	27	1	1
829	0	3	5	48	209	1	4
830	0	4	0	76	121	1	1
831	0	6	1	146	281	1	7
832	0	0	0	92	1	1	6
833	0	4	1	169	320	1	7
834	0	1	5	6	105	1	2
835	0	4	2	20	242	1	1
836	0	6	0	120	250	1	4
837	0	10	2	139	198	1	2
838	0	6	0	94	95	1	7
839	0	4	1	112	238	1	4
840	0	4	5	144	31	1	2
841	0	10	4	24	43	1	5
842	0	6	4	193	301	1	3
843	0	0	4	99	267	1	6
844	0	10	3	121	293	1	3
845	0	4	4	20	202	1	0
846	0	9	0	132	292	1	2
847	0	7	1	44	85	1	3
848	0	2	5	10	216	1	1
849	0	6	4	51	321	1	2
850	0	4	0	81	372	1	1
851	0	6	2	142	203	1	5
852	0	8	0	117	6	1	6
853	0	6	0	38	75	1	1
854	0	9	3	25	146	1	5
855	0	4	4	98	335	1	7
856	0	9	2	121	19	1	2
857	0	6	0	36	316	1	6
858	0	6	0	84	353	1	3
859	0	11	0	121	137	1	5
860	0	5	3	77	159	1	4
861	0	11	1	175	50	1	3
862	0	4	2	190	226	1	5
863	0	11	1	106	309	1	1
864	0	7	4	54	208	1	7
865	0	5	0	14	263	1	2
866	0	4	1	181	259	1	6
867	0	8	1	145	14	1	2
868	0	3	3	14	127	1	0
869	0	0	2	92	360	1	3
870	0	5	5	118	258	1	6
871	0	1	2	174	15	1	3
