tag	layer	target	N	C	H	W	bit
150	0	0	59	1	6	5	4
151	0	0	41	0	6	0	4
152	0	0	57	0	6	3	6
153	0	0	43	0	3	6	5
154	0	0	23	1	1	2	4
155	0	0	43	1	4	5	4
156	0	0	1	2	1	0	3
157	0	0	52	1	4	6	3
158	0	0	60	2	5	3	7
159	0	0	2	0	2	1	6
160	0	0	31	1	5	4	5
161	0	0	60	2	4	2	6
162	0	0	42	1	5	3	4
163	0	0	39	1	1	0	3
164	0	0	40	0	5	4	2
165	0	0	24	0	5	3	4
166	0	0	36	0	6	1	4
167	0	0	29	1	1	2	0
168	0	0	16	1	0	0	4
169	0	0	16	2	6	6	7
170	0	0	13	0	4	2	7
171	0	0	61	1	2	1	0
172	0	0	32	1	0	6	1
173	0	0	51	1	0	4	0
174	0	0	19	0	6	4	4
175	0	0	10	0	0	4	6
176	0	0	28	2	3	3	7
177	0	0	38	2	3	2	0
178	0	0	12	0	5	1	4
179	0	0	10	0	1	1	1
180	0	0	20	0	3	3	7
181	0	0	37	0	1	2	4
182	0	0	58	0	5	1	4
183	0	0	25	1	0	4	3
184	0	0	19	1	6	1	1
185	0	0	7	0	6	2	4
186	0	0	56	0	3	5	4
187	0	0	51	1	4	4	7
188	0	0	56	0	4	0	6
189	0	0	41	2	2	0	1
190	0	0	29	2	6	6	0
191	0	0	34	2	0	6	2
192	0	0	60	2	5	3	4
193	0	0	23	2	3	5	7
194	0	0	11	1	2	3	5
195	0	0	41	2	0	6	2
196	0	0	42	1	5	3	4
197	0	0	51	2	0	3	1
198	0	0	40	1	2	0	6
199	0	0	0	2	6	4	7
200	0	0	52	0	1	4	5
201	0	0	63	2	3	6	0
202	0	0	26	1	4	1	4
203	0	0	56	2	3	0	0
204	0	0	30	2	1	2	0
205	0	0	52	0	1	6	1
206	0	0	59	0	5	6	2
207	0	0	63	2	2	4	4
208	0	0	53	1	3	1	7
209	0	0	18	1	1	4	2
210	0	0	8	1	6	6	6
211	0	0	43	2	2	6	0
212	0	0	36	2	2	6	7
213	0	0	19	1	4	3	5
214	0	0	42	2	6	4	6
215	0	0	58	1	6	1	3
216	0	0	49	0	6	6	6
217	0	0	5	1	5	3	6
218	0	0	49	2	6	6	2
219	0	0	63	0	1	4	5
220	0	0	12	1	0	4	7
221	0	0	1	2	1	3	2
222	0	0	9	1	6	2	5
223	0	0	50	2	0	6	5
224	0	0	48	1	5	5	7
225	0	0	4	2	0	1	4
226	0	0	29	2	0	3	1
227	0	0	12	1	1	5	4
228	0	0	3	0	2	6	0
229	0	0	37	1	2	3	2
230	0	0	31	2	3	4	2
231	0	0	21	0	0	4	6
232	0	0	30	1	4	1	3
233	0	0	59	2	2	3	4
234	0	0	1	1	2	5	2
235	0	0	9	1	2	4	4
236	0	0	54	2	2	3	4
237	0	0	25	1	6	3	1
238	0	0	30	1	4	2	4
239	0	0	37	0	6	5	6
240	0	0	35	0	4	6	0
241	0	0	63	1	6	6	3
242	0	0	45	0	5	1	4
243	0	0	17	2	0	5	0
244	0	0	39	1	0	4	5
245	0	0	16	0	2	2	6
246	0	0	22	0	1	6	5
247	0	0	34	0	2	6	7
248	0	0	37	2	6	2	1
249	0	0	59	0	1	6	3
250	0	0	50	2	2	0	6
251	0	0	1	1	4	0	7
252	0	0	47	2	5	5	4
253	0	0	48	2	2	0	3
254	0	0	60	0	4	4	5
255	0	0	28	2	0	5	7
256	0	0	38	2	3	0	2
257	0	0	5	0	2	3	1
258	0	0	12	0	4	1	6
259	0	0	58	1	5	5	6
260	0	0	19	1	5	0	7
261	0	0	52	1	0	5	5
262	0	0	27	1	3	1	5
263	0	0	12	2	2	4	5
264	0	0	7	1	2	1	1
265	0	0	58	0	5	1	0
266	0	0	6	1	1	1	3
267	0	0	8	2	1	4	3
268	0	0	29	1	6	1	0
269	0	0	35	0	1	4	4
270	0	0	22	0	5	6	0
271	0	0	16	0	2	6	3
272	0	0	41	0	1	2	0
273	0	0	16	2	3	4	1
274	0	0	8	1	3	6	5
275	0	0	13	1	4	1	0
276	0	0	38	1	5	0	0
277	0	0	61	1	3	5	1
278	0	0	62	2	3	0	1
279	0	0	41	2	1	0	2
280	0	0	35	2	5	4	5
281	0	0	48	2	4	2	7
282	0	0	55	0	6	5	1
283	0	0	27	1	3	1	6
284	0	0	43	1	3	3	1
285	0	0	40	1	2	5	4
286	0	0	47	0	5	3	1
287	0	0	11	0	0	3	1
288	0	0	47	0	4	0	5
289	0	0	15	1	2	6	6
290	0	0	6	1	4	2	5
291	0	0	13	2	4	1	2
292	0	0	61	0	6	0	5
293	0	0	47	0	6	2	3
294	0	0	54	2	6	6	0
295	0	0	34	0	1	2	4
296	0	0	43	1	0	1	2
297	0	0	51	0	1	5	0
298	0	0	11	2	4	1	6
299	0	0	53	1	2	1	5
300	0	0	39	2	2	6	1
301	0	0	6	0	1	6	0
302	0	0	10	1	3	5	6
303	0	0	62	2	3	3	4
304	0	0	27	2	0	2	6
305	0	0	14	1	5	5	7
306	0	0	39	0	1	3	0
307	0	0	0	0	2	1	2
308	0	0	32	1	2	0	0
309	0	0	63	2	3	1	2
310	0	0	48	2	5	1	5
311	0	0	9	1	6	5	0
312	0	0	55	0	3	0	5
313	0	0	54	2	3	5	6
314	0	0	37	0	3	0	5
315	0	0	21	2	3	6	5
316	0	0	11	1	6	0	3
317	0	0	55	2	3	4	1
318	0	0	50	1	5	2	3
319	0	0	42	0	0	4	1
320	0	0	24	1	2	5	2
321	0	0	30	0	1	2	3
322	0	0	22	2	1	6	1
323	0	0	22	2	3	3	7
324	0	0	41	2	2	1	7
325	0	0	8	1	3	5	4
326	0	0	35	2	0	2	1
327	0	0	39	1	3	0	0
328	0	0	47	1	0	5	1
329	0	0	49	1	4	4	0
330	0	0	57	2	5	1	5
331	0	0	60	2	1	0	7
332	0	0	13	1	5	0	2
333	0	0	5	0	5	3	7
334	0	0	20	1	2	2	6
335	0	0	52	1	5	4	0
336	0	0	42	0	2	0	6
337	0	0	36	1	5	6	2
338	0	0	42	0	4	5	2
339	0	0	44	1	5	5	6
340	0	0	16	2	5	0	4
341	0	0	48	2	6	2	2
342	0	0	11	2	5	3	5
343	0	0	2	1	2	1	3
344	0	0	43	1	1	1	2
345	0	0	19	0	2	6	1
346	0	0	4	2	2	6	2
347	0	0	48	0	1	1	2
348	0	0	56	0	3	2	3
349	0	0	56	2	2	6	7
350	0	0	29	2	1	2	7
351	0	0	24	1	5	4	7
352	0	0	59	1	6	3	6
353	0	0	20	0	6	4	2
354	0	0	32	0	5	3	5
355	0	0	13	2	6	4	1
356	0	0	36	0	6	1	4
357	0	0	57	2	1	6	6
358	0	0	11	0	6	3	5
359	0	0	3	1	0	3	5
360	0	0	30	1	0	2	3
361	0	0	3	1	0	6	5
362	0	0	18	0	0	2	7
363	0	0	17	2	3	3	0
364	0	0	10	0	2	1	2
365	0	0	54	0	6	2	3
366	0	0	38	0	0	1	6
367	0	0	58	0	0	6	7
368	0	0	2	2	4	4	3
369	0	0	18	1	3	0	5
370	0	0	30	2	3	1	1
371	0	0	46	0	4	4	0
372	0	0	49	1	0	5	6
373	0	0	47	1	5	0	5
374	0	0	8	1	1	5	1
375	0	0	42	0	0	2	5
376	0	0	22	2	3	5	7
377	0	0	23	0	0	5	7
378	0	0	4	1	1	0	3
379	0	0	5	1	2	4	6
380	0	0	60	1	0	6	3
381	0	0	36	1	6	6	0
382	0	0	42	1	0	6	5
383	0	0	55	1	5	3	6
384	0	0	43	0	3	5	7
385	0	0	47	2	2	6	1
386	0	0	54	0	3	4	2
387	0	0	37	1	0	0	5
388	0	0	37	1	3	4	6
389	0	0	21	2	3	2	7
390	0	0	5	2	6	2	6
391	0	0	35	2	6	0	1
392	0	0	51	1	4	6	2
393	0	0	3	0	6	4	7
394	0	0	4	0	0	1	5
395	0	0	46	1	4	0	2
396	0	0	57	1	2	3	1
397	0	0	17	2	2	3	5
398	0	0	35	0	0	0	2
399	0	0	63	2	3	4	1
400	0	0	33	1	5	3	3
401	0	0	36	2	3	1	1
402	0	0	17	0	3	1	7
403	0	0	11	2	6	2	5
404	0	0	8	2	4	2	4
405	0	0	20	2	5	5	2
406	0	0	46	2	1	0	3
407	0	0	17	0	6	3	0
408	0	0	46	2	4	2	7
409	0	0	16	2	0	0	4
410	0	0	50	2	5	3	6
411	0	0	52	2	0	1	5
412	0	0	9	1	3	5	5
413	0	0	16	2	5	4	2
414	0	0	16	1	4	6	0
415	0	0	15	2	1	2	2
416	0	0	20	1	5	1	5
417	0	0	36	0	2	1	4
418	0	0	16	2	2	4	1
419	0	0	21	2	4	1	2
420	0	0	43	2	0	6	0
421	0	0	10	0	5	6	4
422	0	0	26	2	3	4	0
423	0	0	63	2	4	2	4
424	0	0	61	0	6	6	6
425	0	0	38	1	0	5	0
426	0	0	20	1	3	3	7
427	0	0	26	1	4	1	5
428	0	0	40	2	6	2	6
429	0	0	16	1	4	4	1
430	0	0	40	0	3	0	4
431	0	0	57	0	1	0	0
432	0	0	37	1	6	4	6
433	0	0	31	0	6	2	5
434	0	0	24	0	3	4	7
435	0	0	63	1	3	0	1
436	0	0	50	2	3	1	3
437	0	0	45	0	0	2	7
438	0	0	60	1	4	0	1
439	0	0	55	0	2	5	5
440	0	0	51	1	0	3	0
441	0	0	24	1	4	2	1
442	0	0	49	2	3	6	4
443	0	0	15	0	0	3	5
444	0	0	43	2	2	6	2
445	0	0	25	2	4	3	0
446	0	0	5	0	1	5	5
447	0	0	60	2	3	1	2
448	0	0	41	2	2	1	6
449	0	0	38	2	2	4	7
450	0	0	38	1	6	0	5
451	0	0	42	2	0	3	4
452	0	0	3	2	3	2	3
453	0	0	6	2	3	1	6
454	0	0	18	2	1	0	1
455	0	0	24	0	3	2	6
456	0	0	19	1	5	1	6
457	0	0	60	2	5	0	2
458	0	0	26	2	2	5	7
459	0	0	48	1	1	3	5
460	0	0	45	2	6	6	4
461	0	0	61	0	1	2	4
462	0	0	28	1	6	2	3
463	0	0	62	1	3	2	4
464	0	0	36	0	4	5	6
465	0	0	50	1	6	6	2
466	0	0	37	0	2	5	1
467	0	0	44	1	5	2	7
468	0	0	27	0	6	4	4
469	0	0	34	0	0	4	3
470	0	0	31	0	5	4	3
471	0	0	29	0	0	3	5
472	0	0	60	0	5	6	2
473	0	0	0	2	1	3	7
474	0	0	61	2	1	6	4
475	0	0	41	1	5	0	1
476	0	0	29	2	5	5	0
477	0	0	22	1	6	1	0
478	0	0	50	1	1	5	4
479	0	0	4	0	2	4	1
480	0	0	42	1	3	5	7
481	0	0	17	2	3	2	3
482	0	0	14	1	1	5	7
483	0	0	32	2	1	0	5
484	0	0	37	2	5	6	3
485	0	0	22	2	6	5	6
486	0	0	54	2	2	0	6
487	0	0	12	0	1	3	5
488	0	0	31	0	2	3	3
489	0	0	57	1	2	2	0
490	0	0	33	2	2	5	3
491	0	0	7	2	0	3	4
492	0	0	20	1	5	4	4
493	0	0	15	2	2	2	3
494	0	0	28	0	3	1	7
495	0	0	47	1	5	4	7
496	0	0	27	0	5	6	1
497	0	0	57	2	5	2	1
498	0	0	14	0	6	4	3
499	0	0	19	0	2	6	7
500	0	0	14	2	1	5	7
501	0	0	11	2	3	6	0
502	0	0	58	0	4	3	7
503	0	0	7	2	3	5	4
504	0	0	2	1	2	6	0
505	0	0	27	2	0	0	6
506	0	0	44	2	0	4	0
507	0	0	8	1	0	2	6
508	0	0	23	0	6	5	6
509	0	0	47	1	3	6	6
510	0	0	48	0	5	5	2
511	0	0	44	0	1	4	6
512	0	0	16	2	1	6	0
513	0	0	2	1	3	5	6
514	0	0	48	0	1	3	5
515	0	0	19	1	1	5	1
516	0	0	4	2	3	4	0
517	0	0	30	0	0	0	0
518	0	0	57	2	5	5	0
519	0	0	31	2	0	3	7
520	0	0	29	2	1	6	0
521	0	0	17	2	2	1	5
522	0	0	41	0	2	1	3
523	0	0	52	1	2	0	2
524	0	0	54	2	3	0	5
525	0	0	48	2	2	5	6
526	0	0	52	0	2	3	2
527	0	0	60	0	6	1	4
528	0	0	18	1	0	4	6
529	0	0	53	2	4	1	6
530	0	0	31	1	1	2	1
531	0	0	57	1	0	4	3
532	0	0	6	1	3	5	0
533	0	0	9	0	6	6	3
534	0	0	61	0	6	2	4
535	0	0	1	0	1	5	1
536	0	0	61	0	5	4	3
537	0	0	50	0	4	2	4
538	0	0	48	1	4	5	5
539	0	0	39	1	2	4	7
540	0	0	59	0	6	5	7
541	0	0	40	0	2	2	6
542	0	0	5	2	6	1	2
543	0	0	2	1	4	4	6
544	0	0	37	0	1	2	3
545	0	0	48	2	6	1	7
546	0	0	43	1	6	6	7
547	0	0	62	1	1	5	5
548	0	0	21	0	5	4	7
549	0	0	23	2	5	0	0
550	0	0	9	2	0	6	0
551	0	0	52	0	6	5	3
552	0	0	8	2	1	0	3
553	0	0	58	1	0	4	7
554	0	0	62	0	0	4	6
555	0	0	1	0	4	5	4
556	0	0	36	0	4	6	6
557	0	0	22	0	0	4	2
558	0	0	30	0	4	4	4
559	0	0	45	1	6	3	1
560	0	0	47	1	3	4	3
561	0	0	28	1	5	6	1
562	0	0	4	0	3	3	6
563	0	0	60	0	5	0	2
564	0	0	10	1	6	3	5
565	0	0	12	2	0	1	3
566	0	0	60	1	0	0	4
567	0	0	4	0	6	2	0
568	0	0	26	2	1	6	6
569	0	0	9	1	1	4	3
570	0	0	49	2	4	2	6
571	0	0	17	2	5	0	5
572	0	0	6	0	3	1	1
573	0	0	43	2	6	4	6
574	0	0	41	0	5	2	7
575	0	0	62	0	2	4	6
576	0	0	55	0	5	4	6
577	0	0	10	2	2	6	3
578	0	0	9	0	2	1	6
579	0	0	19	2	3	2	5
580	0	0	13	0	0	2	7
581	0	0	46	1	0	1	1
582	0	0	23	1	3	4	6
583	0	0	13	0	0	2	1
584	0	0	41	1	0	2	6
585	0	0	49	0	5	4	3
586	0	0	21	2	3	1	2
587	0	0	34	1	2	3	2
588	0	0	8	0	3	2	6
589	0	0	38	1	6	0	5
590	0	0	32	0	5	5	7
591	0	0	25	1	0	1	4
592	0	0	0	1	2	6	6
593	0	0	42	1	2	3	2
594	0	0	38	1	4	5	3
595	0	0	61	1	1	3	5
596	0	0	37	2	5	5	7
597	0	0	31	1	3	2	6
598	0	0	46	0	4	1	2
599	0	0	3	2	3	5	3
600	0	0	56	1	6	5	1
601	0	0	52	2	3	1	4
602	0	0	30	1	5	1	6
603	0	0	48	0	3	4	7
604	0	0	51	2	4	6	6
605	0	0	4	1	5	6	1
606	0	0	13	0	5	5	5
607	0	0	21	2	4	0	6
608	0	0	42	1	0	0	1
609	0	0	33	0	4	5	3
610	0	0	57	1	3	3	2
611	0	0	44	0	3	0	4
612	0	0	53	0	0	6	2
613	0	0	44	1	2	3	3
614	0	0	61	1	3	0	7
615	0	0	57	1	0	2	0
616	0	0	14	0	6	2	1
617	0	0	21	2	1	4	2
618	0	0	20	1	4	3	7
619	0	0	29	1	5	1	2
620	0	0	55	1	0	5	3
621	0	0	57	2	3	3	0
622	0	0	27	0	2	6	1
623	0	0	13	2	1	2	5
624	0	0	25	1	0	2	7
625	0	0	40	2	3	4	6
626	0	0	14	1	2	6	7
627	0	0	22	2	5	6	4
628	0	0	10	2	1	2	1
629	0	0	30	1	0	1	5
630	0	0	18	2	3	3	2
631	0	0	49	1	1	3	2
632	0	0	21	1	2	1	2
633	0	0	40	1	4	0	5
634	0	0	1	1	1	1	6
635	0	0	63	1	5	3	6
636	0	0	56	1	1	0	0
637	0	0	28	1	0	2	3
638	0	0	36	0	6	3	7
639	0	0	14	2	0	2	5
640	0	0	5	2	3	4	3
641	0	0	54	0	5	6	3
642	0	0	38	0	3	2	5
643	0	0	11	1	6	0	3
644	0	0	26	2	4	5	5
645	0	0	54	0	4	1	3
646	0	0	26	0	4	2	4
647	0	0	21	1	5	2	4
648	0	0	34	2	5	6	1
649	0	0	17	1	0	2	2
650	0	0	16	0	1	5	5
651	0	0	31	2	3	3	2
652	0	0	34	2	3	3	7
653	0	0	9	2	6	6	1
654	0	0	51	2	5	2	5
655	0	0	58	1	2	4	0
656	0	0	11	2	3	5	5
657	0	0	8	2	3	1	6
658	0	0	27	1	2	2	4
659	0	0	43	2	4	1	7
660	0	0	43	2	6	0	0
661	0	0	12	2	6	6	7
662	0	0	2	0	6	1	7
663	0	0	58	0	3	1	2
664	0	0	38	0	6	2	1
665	0	0	46	1	0	2	2
666	0	0	6	1	5	2	3
667	0	0	54	2	0	5	1
668	0	0	0	0	3	0	2
669	0	0	28	2	5	3	0
670	0	0	1	2	2	6	1
671	0	0	54	2	1	3	1
672	0	0	29	1	0	5	1
673	0	0	13	1	2	2	2
674	0	0	48	0	5	5	2
675	0	0	8	2	4	0	2
676	0	0	56	1	5	1	2
677	0	0	52	2	5	3	3
678	0	0	11	0	1	6	1
679	0	0	49	1	3	2	2
680	0	0	31	1	5	0	3
681	0	0	36	2	0	6	4
682	0	0	26	2	4	4	3
683	0	0	50	1	5	0	3
684	0	0	63	1	0	1	7
685	0	0	9	2	0	2	5
686	0	0	16	1	6	6	6
687	0	0	46	2	5	1	7
688	0	0	9	0	4	0	0
689	0	0	33	0	0	0	6
690	0	0	36	2	5	4	6
691	0	0	54	2	3	0	2
692	0	0	35	0	2	0	3
693	0	0	19	2	2	3	1
694	0	0	39	2	3	5	3
695	0	0	7	0	0	3	1
696	0	0	58	2	4	0	4
697	0	0	22	0	0	5	2
698	0	0	1	0	3	2	4
699	0	0	21	1	1	5	4
700	0	0	15	0	2	6	6
701	0	0	34	2	0	2	1
702	0	0	63	1	4	2	0
703	0	0	63	2	1	2	2
704	0	0	32	0	4	5	1
705	0	0	29	2	4	0	0
706	0	0	1	0	0	3	5
707	0	0	49	0	1	6	0
708	0	0	53	0	2	1	6
709	0	0	40	1	6	0	5
710	0	0	15	2	5	0	2
711	0	0	28	2	0	3	1
712	0	0	59	1	6	6	4
713	0	0	41	0	4	3	0
714	0	0	47	0	2	4	4
715	0	0	31	1	2	4	7
716	0	0	25	2	4	6	3
717	0	0	19	0	3	0	3
718	0	0	44	2	6	5	0
719	0	0	42	0	6	5	6
720	0	0	39	0	1	4	3
721	0	0	53	1	0	1	4
722	0	0	11	0	1	6	6
723	0	0	47	1	5	0	1
724	0	0	17	2	6	3	1
725	0	0	7	1	5	1	3
726	0	0	37	1	6	2	6
727	0	0	41	1	3	2	3
728	0	0	9	0	1	6	1
729	0	0	19	0	1	3	7
730	0	0	40	1	0	4	5
731	0	0	26	1	2	3	4
732	0	0	15	0	1	6	4
733	0	0	5	0	6	6	5
734	0	0	18	0	5	1	5
735	0	0	50	2	0	5	4
736	0	0	33	0	0	3	7
737	0	0	31	0	3	0	2
738	0	0	15	0	0	6	3
739	0	0	16	0	6	3	5
740	0	0	10	2	4	2	1
741	0	0	2	0	1	5	7
742	0	0	16	0	6	6	5
743	0	0	15	0	3	0	2
744	0	0	55	2	3	3	0
745	0	0	48	2	3	1	5
746	0	0	27	0	2	2	7
747	0	0	19	0	4	4	3
748	0	0	37	1	3	4	7
749	0	0	7	0	2	3	2
750	0	0	53	0	5	6	3
751	0	0	2	1	6	5	5
752	0	0	61	2	6	3	5
753	0	0	41	1	2	1	0
754	0	0	40	2	1	0	4
755	0	0	7	1	4	2	3
756	0	0	20	0	1	5	3
757	0	0	34	2	6	6	0
758	0	0	28	2	6	6	6
759	0	0	45	0	1	1	5
760	0	0	45	2	0	5	5
761	0	0	18	2	1	6	7
762	0	0	39	0	3	0	1
763	0	0	7	0	4	1	0
764	0	0	61	0	2	4	3
765	0	0	16	1	5	1	5
766	0	0	7	0	1	4	2
767	0	0	14	2	6	2	1
768	0	0	47	2	5	3	1
769	0	0	43	1	2	1	2
770	0	0	55	2	3	5	5
771	0	0	22	2	4	5	5
772	0	0	28	2	4	6	2
773	0	0	48	1	5	5	4
774	0	0	16	0	5	0	6
775	0	0	4	0	4	2	3
776	0	0	13	1	1	2	1
777	0	0	30	1	2	1	1
778	0	0	42	1	0	2	3
779	0	0	31	2	0	2	4
780	0	0	13	2	0	0	6
781	0	0	56	2	3	1	6
782	0	0	63	1	2	4	6
783	0	0	12	1	6	6	3
784	0	0	20	1	0	6	0
785	0	0	37	0	2	2	1
786	0	0	9	1	1	3	2
787	0	0	9	2	0	2	7
788	0	0	3	1	5	1	6
789	0	0	20	0	0	2	3
790	0	0	24	1	5	4	4
791	0	0	36	1	1	0	0
792	0	0	50	2	4	6	7
793	0	0	19	0	2	0	6
794	0	0	11	1	6	5	7
795	0	0	25	0	0	1	2
796	0	0	37	0	3	6	1
797	0	0	39	1	3	3	4
798	0	0	11	2	4	3	2
799	0	0	47	1	2	1	7
800	0	0	5	1	3	3	4
801	0	0	28	1	4	0	2
802	0	0	12	0	5	2	6
803	0	0	29	2	0	6	6
804	0	0	53	2	5	6	7
805	0	0	30	1	2	0	6
806	0	0	4	2	4	4	2
807	0	0	15	1	1	1	3
808	0	0	24	0	0	3	1
809	0	0	55	0	6	5	2
810	0	0	33	1	5	6	1
811	0	0	11	1	4	3	5
812	0	0	35	2	3	6	0
813	0	0	53	0	3	1	2
814	0	0	12	0	4	6	1
815	0	0	36	2	2	3	4
816	0	0	49	2	3	4	7
817	0	0	4	0	2	3	2
818	0	0	51	0	3	2	3
819	0	0	6	2	3	2	5
820	0	0	2	1	6	6	4
821	0	0	39	1	6	3	1
822	0	0	29	0	2	5	7
823	0	0	41	1	5	3	1
824	0	0	24	1	1	6	6
825	0	0	62	2	6	2	0
826	0	0	20	0	2	5	6
827	0	0	17	2	4	0	2
828	0	0	24	0	6	0	3
829	0	0	4	1	0	2	3
830	0	0	35	1	6	3	6
831	0	0	15	2	0	1	5
832	0	0	62	2	3	1	7
833	0	0	44	1	1	6	4
834	0	0	11	1	0	3	0
835	0	0	20	2	6	1	3
836	0	0	28	2	1	2	6
837	0	0	2	2	0	3	2
838	0	0	22	2	6	0	3
839	0	0	32	2	6	2	4
840	0	0	54	1	6	2	7
841	0	0	32	0	3	2	6
842	0	0	13	0	4	5	5
843	0	0	36	1	5	0	7
844	0	0	8	1	2	5	5
845	0	0	35	1	5	5	4
846	0	0	24	0	4	6	3
847	0	0	7	2	3	5	5
848	0	0	17	2	0	5	7
849	0	0	37	1	3	3	6
850	0	0	4	2	5	4	3
851	0	0	43	2	5	1	7
852	0	0	45	2	2	6	2
853	0	0	23	1	0	3	2
854	0	0	33	2	6	4	2
855	0	0	42	2	0	1	5
856	0	0	28	2	6	2	6
857	0	0	42	1	2	4	4
858	0	0	59	0	3	0	1
859	0	0	60	0	4	0	6
860	0	0	38	1	0	6	2
861	0	0	17	0	2	3	7
862	0	0	18	1	6	5	2
863	0	0	10	1	2	5	2
864	0	0	40	2	0	0	7
865	0	0	35	0	6	6	2
866	0	0	20	1	6	6	1
867	0	0	16	2	3	5	6
868	0	0	51	1	3	3	0
869	0	0	4	2	1	5	5
870	0	0	1	1	6	6	3
871	0	0	2	2	0	5	3
